Метод барьерных функций, Метод Ньютона
     65	[ 1.4205,-4.2617]	-71.4842	 0.1061	 0.0078	 0.0164
     66	[ 1.4255,-4.2767]	-71.5159	 0.0955	 0.0078	 0.0159
     67	[ 1.4304,-4.2913]	-71.5457	  0.086	 0.0078	 0.0154
     68	[ 1.4351,-4.3054]	-71.5736	 0.0774	 0.0078	 0.0149
     69	[ 1.4397,-4.3191]	-71.5998	 0.0696	 0.0078	 0.0144
     70	[ 1.4441,-4.3323]	-71.6244	 0.0627	 0.0078	  0.014
     71	[ 1.4484,-4.3452]	-71.6475	 0.0564	 0.0078	 0.0135
     72	[ 1.4525,-4.3576]	-71.6692	 0.0508	 0.0078	 0.0131
     73	[ 1.4565,-4.3696]	-71.6895	 0.0457	 0.0078	 0.0127
     74	[ 1.4604,-4.3813]	-71.7086	 0.0411	 0.0078	 0.0123
     75	[ 1.4642,-4.3926]	-71.7266	  0.037	 0.0078	 0.0119
     76	[ 1.4679,-4.4036]	-71.7434	 0.0333	 0.0078	 0.0116
     77	[ 1.4714,-4.4142]	-71.7592	   0.03	 0.0078	 0.0112
     78	[ 1.4748,-4.4245]	-71.774	  0.027	 0.0078	 0.0108
     79	[ 1.4781,-4.4345]	-71.7879	 0.0243	 0.0078	 0.0105
     80	[ 1.4814,-4.4441]	-71.8009	 0.0218	 0.0078	 0.0102
     81	[ 1.4845,-4.4535]	-71.8132	 0.0197	 0.0078	 0.0099
     82	[ 1.4875,-4.4625]	-71.8246	 0.0177	 0.0078	 0.0095
     83	[ 1.4904,-4.4713]	-71.8354	 0.0159	 0.0078	 0.0093
     84	[ 1.4933,-4.4798]	-71.8456	 0.0143	 0.0078	  0.009
     85	[  1.496, -4.488]	-71.8551	 0.0129	 0.0078	 0.0087
     86	[ 1.4987, -4.496]	-71.864	 0.0116	 0.0078	 0.0084
     87	[ 1.5012,-4.5037]	-71.8723	 0.0104	 0.0078	 0.0081
     88	[ 1.5037,-4.5112]	-71.8802	 0.0094	 0.0078	 0.0079
     89	[ 1.5062,-4.5185]	-71.8876	 0.0085	 0.0078	 0.0076
     90	[ 1.5085,-4.5255]	-71.8945	 0.0076	 0.0078	 0.0074
     91	[ 1.5108,-4.5323]	-71.901	 0.0069	 0.0078	 0.0072
     92	[  1.513,-4.5389]	-71.9071	 0.0062	 0.0078	  0.007
     93	[ 1.5151,-4.5453]	-71.9128	 0.0056	 0.0078	 0.0067
     94	[ 1.5172,-4.5515]	-71.9181	  0.005	 0.0078	 0.0065
     95	[ 1.5192,-4.5575]	-71.9232	 0.0045	 0.0078	 0.0063
     96	[ 1.5211,-4.5633]	-71.9279	  0.004	 0.0078	 0.0061
     97	[  1.523,-4.5689]	-71.9323	 0.0036	 0.0078	 0.0059
     98	[ 1.5248,-4.5744]	-71.9365	 0.0033	 0.0078	 0.0057
     99	[ 1.5266,-4.5797]	-71.9404	  0.003	 0.0078	 0.0056
    100	[ 1.5283,-4.5848]	-71.9441	 0.0027	 0.0078	 0.0054
    101	[ 1.5299,-4.5897]	-71.9475	 0.0024	 0.0078	 0.0052
    102	[ 1.5315,-4.5945]	-71.9507	 0.0022	 0.0078	 0.0051
    103	[ 1.5331,-4.5992]	-71.9538	 0.0019	 0.0078	 0.0049
    104	[ 1.5346,-4.6037]	-71.9566	 0.0017	 0.0078	 0.0048
    105	[  1.536,-4.6081]	-71.9593	 0.0016	 0.0078	 0.0046
    106	[ 1.5374,-4.6123]	-71.9618	 0.0014	 0.0078	 0.0045
    107	[ 1.5388,-4.6164]	-71.9641	 0.0013	 0.0078	 0.0043
    108	[ 1.5401,-4.6204]	-71.9663	 0.0011	 0.0078	 0.0042
    109	[ 1.5414,-4.6242]	-71.9684	  0.001	 0.0078	 0.0041
    110	[ 1.5426,-4.6279]	-71.9704	 0.0009	 0.0078	 0.0039
    111	[ 1.5438,-4.6315]	-71.9722	 0.0008	 0.0078	 0.0038
    112	[  1.545, -4.635]	-71.9739	 0.0008	 0.0078	 0.0037
    113	[ 1.5461,-4.6384]	-71.9755	 0.0007	 0.0078	 0.0036
    114	[ 1.5472,-4.6417]	-71.977	 0.0006	 0.0078	 0.0035
    115	[ 1.5483,-4.6449]	-71.9784	 0.0005	 0.0078	 0.0034
    116	[ 1.5493, -4.648]	-71.9798	 0.0005	 0.0078	 0.0032
    117	[ 1.5503,-4.6509]	-71.981	 0.0004	 0.0078	 0.0031
    118	[ 1.5513,-4.6538]	-71.9822	 0.0004	 0.0078	  0.003
